ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
AVGO,Broadcom,Information Technology,2026-09-02,AMC,2026-09-02,0.08121152771510572,0.08256731281886374,0.09958087045954495,0.08396081424586195,0.11520092667322794,-0.18446658137922017,-1.5071744518211565,-1.2559787098509636,long strangle,long 310P / 430C @ ask,debit,217.0,inf,217.0,0.0333889816360601,14.76138937163061,13189,0.8333333333333333,12,False,,,368.7900085449219,2026-09-04,370.0,29.45,29.95,30.45,"[{""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 430.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 310.0}]"
ADBE,Adobe Inc.,Information Technology,2026-09-10,AMC,2026-09-10,0.09184618897177678,0.09656284666874011,0.07783572237889401,0.06571781587608243,0.08995362888170559,0.18000046976736042,1.481758749440134,0.0,screened out,,,,,,0.1027077497665733,67.33048704258516,219,0.8333333333333333,12,True,spread > 10%,spread > 10%,291.5199890136719,2026-09-11,290.0,25.4,26.775,28.15,
BF-B,Brown–Forman,Consumer Staples,2026-09-02,BMO,2026-09-01,0.07439382994423913,0.086333580429117,0.06586328482608415,0.05470401779509653,0.07702255185707177,0.12951897465606785,0.9797011392476591,0.0,screened out,,,,,,0.3209876543209875,279.92936722103093,5954,0.8333333333333333,12,True,spread > 10%,spread > 10%; squeeze risk (13% of float short — no short premium),27.219999313354492,2026-09-18,27.5,1.7,2.025,2.3499999999999996,
CASY,Casey's,Consumer Staples,2026-09-08,AMC,2026-09-08,0.09007637978868312,0.09834937572812867,0.07542522902506961,0.061018583738296876,0.08983187431184234,0.19424734870534902,1.3033509498485985,0.0,screened out,,,,,,0.18368846436443792,112.93305314954148,55,0.8333333333333333,12,True,spread > 10%,spread > 10%,755.469970703125,2026-09-18,760.0,61.8,68.05,74.3,
CIEN,Ciena,Information Technology,2026-09-03,BMO,2026-09-02,0.12247648161131264,0.13476376617425986,0.1028889643764035,0.08569503673987955,0.12008289201292746,0.19037529781377915,1.4600132453119137,0.0,screened out,,,,,,0.20064724919093843,125.46035738565843,173,0.8333333333333333,12,True,spread > 10%,spread > 10%,378.44000244140625,2026-09-04,380.0,41.7,46.35,51.0,
COO,Cooper Companies (The),Health Care,2026-09-09,AMC,2026-09-09,0.07973865597872473,0.12224252105989519,0.07675106162919897,0.06574798944746535,0.08775413381093258,0.03892577230995816,0.3479847132793188,0.0,screened out,,,,,,1.0660792951541849,2845.3571742708164,194,0.8333333333333333,12,True,spread > 10%,spread > 10%,71.16999816894531,2026-09-18,70.0,2.65,5.675,8.7,
CPRT,Copart,Industrials,2026-09-03,AMC,2026-09-03,0.07502273034485718,0.0879054214141761,0.050862938025852,0.040621521884857195,0.0611043541668468,0.4749979701669128,3.02333089582174,0.0,screened out,,,,,,0.34343434343434365,106.64571035393223,4337,0.8333333333333333,12,True,spread > 10%,spread > 10%,32.9900016784668,2026-09-18,32.5,2.05,2.475,2.9000000000000004,
DELL,Dell Technologies,Information Technology,2026-09-01,AMC,2026-09-01,0.11238602730475146,0.11320796314559554,0.13258302404546599,0.10670467767743291,0.15846137041349906,-0.1523347116731059,-1.0002366710291128,0.0,screened out,,,,,,0.01462701121404179,8.139188725888015,178,0.8333333333333333,12,True,OI < 500,OI < 500,456.239990234375,2026-09-04,455.0,50.900000000000006,51.275000000000006,51.65,
FDXF,FedEx Freight,Industrials,2026-09-08,AMC,2026-09-08,0.08804796005021394,0.10940427376452115,0.07508440442722089,0.05978676654268108,0.0903820423117607,0.17265310581984555,1.0860560964917678,0.0,screened out,,,,,,0.4851063829787233,329.482347827909,405,0.315,0,True,spread > 10%,spread > 10%; single-source date; thin history (n=0); low-conf moves,133.4499969482422,2026-09-18,135.0,8.9,11.75,14.6,
HPE,Hewlett Packard Enterprise,Information Technology,2026-09-02,AMC,2026-09-02,0.11221563459941268,0.11795067554997891,0.0750241784340338,0.061312129282709765,0.08873622758535785,0.49572627040601386,3.4761084718652033,0.0,screened out,,,,,,0.10221465076660982,30.840636758422598,739,0.8333333333333333,12,True,spread > 10%,spread > 10%,52.310001373291016,2026-09-04,52.0,5.57,5.87,6.17,
