ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
CRWD,CrowdStrike,iron fly,3,credit,369.99999999999994,1109.9999999999998,390.00000000000017,1109.9999999999998,2026-08-26,2026-08-26,AMC,2026-08-28,213.89999389648438,0.6199202162060801,3.9387651071897696,0.10565685200971599,0.06522349122672763,12
CRM,Salesforce,iron fly,2,credit,519.9999999999999,1039.9999999999998,460.0000000000001,1039.9999999999998,2026-08-26,2026-08-26,AMC,2026-08-28,190.97000122070312,0.5867399919809029,2.6310184893030466,0.08797193220198138,0.055441932923210875,12
A,Agilent Technologies,iron fly,3,credit,350.0000000000001,1050.0000000000005,449.9999999999998,1050.0000000000005,2026-08-26,2026-08-26,AMC,2026-09-18,148.4499969482422,0.580552436253484,2.4202061237065453,0.0879083884693507,0.055618773824250546,12
