ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
SNDK,Sandisk,iron fly,16,credit,4970.0,79520.0,480.0000000000068,79520.0,2026-08-05,2026-08-05,AMC,2026-08-07,1350.5,0.8043275918347202,5.463578844681318,0.1290633098852277,0.0715298654575195,6
ZTS,Zoetis,iron fly,3,credit,370.0000000000001,1110.0000000000005,389.99999999999966,1110.0000000000005,2026-08-05,2026-08-06,BMO,2026-08-21,74.4000015258789,0.6289005307177946,4.185536528746575,0.1229838684454504,0.07550115315589963,12
