ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
CRWD,CrowdStrike,Information Technology,2026-08-26,AMC,2026-08-26,0.08718796223297519,0.08889238856234163,0.05902704975981205,0.04987763282811559,0.06817646669150852,0.47708487189776844,3.9446257280696413,3.2871881067247006,iron fly,"short 190 straddle @ bid, long 180P / 200C @ ask",credit,775.0,775.0,225.0,0.03909774436090238,12.104908397344913,2397,0.8333333333333333,12,False,,,190.67999267578125,2026-08-28,190.0,16.3,16.625,16.950000000000003,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 190.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 190.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 200.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 180.0}]"
CRM,Salesforce,Information Technology,2026-08-26,AMC,2026-08-26,0.07796804836100489,0.07964220890863381,0.055556278054969266,0.04250023933826634,0.06861231677167219,0.4034066192098157,2.199972399550967,1.833310332959139,iron fly,"short 210 straddle @ bid, long 200P / 220C @ ask",credit,755.0000000000001,755.0000000000001,244.99999999999994,0.04294478527607346,14.940011652520566,3679,0.8333333333333333,12,False,,,209.05999755859375,2026-08-28,210.0,15.950000000000001,16.3,16.65,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 210.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 210.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 220.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 200.0}]"
AVGO,Broadcom,Information Technology,2026-09-02,AMC,2026-09-02,0.0902413845432503,0.09170475834665436,0.09648985244139044,0.08084051507013884,0.11213918981264204,-0.06475777234642953,-0.5117172866991453,-0.4264310722492877,no trade,,,,,,0.032432432432432344,46.839443756752885,2124,0.8333333333333333,12,False,,,358.760009765625,2026-09-04,360.0,31.85,32.375,32.9,
LULU,Lululemon Athletica,Consumer Discretionary,2026-09-03,AMC,2026-09-03,0.11015637835533665,0.11524678400946498,0.09916106519352985,0.08490244567941144,0.11341968470764827,0.11088337081038363,0.988285951120202,0.3120742760006742,no trade,,,,,,0.09242144177449182,92.59228144242944,803,0.8333333333333333,12,False,,wide market; squeeze risk (9% of float short — no short premium),122.77999877929688,2026-09-04,123.0,12.899999999999999,13.524999999999999,14.15,
MRVL,Marvell Technology,Information Technology,2026-08-27,AMC,2026-08-27,0.1053251371936804,0.10815997525479397,0.10984567650339214,0.09226876265212451,0.12742259035465978,-0.04115354790110591,-0.3296098068381175,-0.2746748390317646,no trade,,,,,,0.05383022774327125,125.42034774582353,4215,0.8333333333333333,12,False,,,229.2899932861328,2026-08-28,230.0,23.5,24.15,24.8,
NVDA,Nvidia,Information Technology,2026-08-26,AMC,2026-08-26,0.06055736885422579,0.060917115599894454,0.06048341814572933,0.046814655535772715,0.07415218075568594,0.0012226608674510025,0.0069337094156588655,0.0057780911797157206,no trade,,,,,,0.011881188118811769,972.9365762219571,6340,0.8333333333333333,12,False,,,208.47999572753906,2026-08-28,207.5,12.55,12.625,12.7,
A,Agilent Technologies,Health Care,2026-08-26,AMC,2026-08-26,0.09157270853613081,0.10493385106275488,0.05995999878416455,0.04927381443489025,0.07064618313343886,0.5272299932119942,3.791329766912668,0.0,screened out,,,,,,0.29181494661921714,84.53019454172563,715,0.8333333333333333,12,True,spread > 10%,spread > 10%,153.42999267578125,2026-09-18,155.0,12.0,14.05,16.1,
ADSK,Autodesk,Information Technology,2026-08-27,AMC,2026-08-27,0.0878468680168714,0.10612373317474397,0.05012084557684608,0.04188106723776107,0.058360623915931095,0.7527012364981588,5.867836289939014,0.0,screened out,,,,,,0.4161073825503354,96.89261669145262,240,0.8333333333333333,12,True,spread > 10%,spread > 10%,254.4199981689453,2026-08-28,255.0,17.700000000000003,22.35,27.0,
BBY,Best Buy,Consumer Discretionary,2026-08-27,BMO,2026-08-26,0.08230452359063992,0.08916323388985992,0.08446082797534404,0.07260695883357468,0.09631469711711341,-0.025530230242753478,-0.23313229346349224,0.0,screened out,,,,,,0.16666666666666682,636.154185640271,251,0.8333333333333333,12,True,spread > 10%,spread > 10%; squeeze risk (9% of float short — no short premium),87.4800033569336,2026-08-28,87.0,6.6,7.2,7.800000000000001,
BF-B,Brown–Forman,Consumer Staples,2026-09-02,BMO,2026-09-01,0.09304347826086956,0.10260869565217393,0.06760848174846593,0.056541069254255866,0.07867589424267599,0.3762101419025102,2.94535796396402,0.0,screened out,,,,,,0.20560747663551412,75.21304268030686,5895,0.8333333333333333,12,True,spread > 10%,spread > 10%; squeeze risk (13% of float short — no short premium),28.75,2026-09-18,27.5,2.4,2.675,2.95,
