ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
A,Agilent Technologies,iron fly,2,credit,300.0000000000001,600.0000000000002,399.99999999999983,600.0000000000002,2026-08-26,2026-08-26,AMC,2026-09-18,148.24000549316406,0.5985004489248917,3.614990690606296,0.09511602453799294,0.05950328296871321,12
CSCO,Cisco,iron fly,2,credit,673.0,1346.0,453.9999999999999,1346.0,2026-08-12,2026-08-12,AMC,2026-08-14,123.87999725341797,0.45328479799518706,2.9759773352923076,0.0918227337116457,0.06318289012471305,12
NVDA,Nvidia,iron fly,2,credit,780.0000000000001,1560.0000000000002,439.9999999999999,1560.0000000000002,2026-08-26,2026-08-26,AMC,2026-08-28,224.08999633789062,0.45972943878298983,2.149505299379536,0.07307331995003119,0.0500594959645084,12
CRM,Salesforce,iron fly,2,credit,314.9999999999999,629.9999999999998,370.0000000000003,629.9999999999998,2026-08-26,2026-08-26,AMC,2026-08-28,193.32000732421875,0.6846116414258249,1.2559179109998322,0.0956962512885357,0.05680612013789726,12
