ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
A,Agilent Technologies,iron fly,2,credit,330.00000000000006,660.0000000000001,339.9999999999999,660.0000000000001,2026-08-26,2026-08-26,AMC,2026-09-18,149.2899932861328,0.6499421095557382,3.449622577298139,0.0917677045757665,0.05561874204209248,12
CRM,Salesforce,iron fly,3,credit,350.0,1050.0,450.0,1050.0,2026-08-26,2026-08-26,AMC,2026-08-28,201.3699951171875,0.7416644905428093,3.3659276904093964,0.09944381231348011,0.05709699707001969,12
MRVL,Marvell Technology,iron fly,2,credit,765.0,1530.0,469.99999999999994,1530.0,2026-08-27,2026-08-27,AMC,2026-08-28,222.17999267578125,0.46577749608139624,3.187173146177476,0.15089117429633617,0.10294275543165865,12
NVDA,Nvidia,iron fly,2,credit,774.9999999999998,1549.9999999999995,450.00000000000034,1549.9999999999995,2026-08-26,2026-08-26,AMC,2026-08-28,225.3000030517578,0.24287743521046512,1.0604311554888646,0.06990678999849714,0.05624592419015101,12
