ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
MS,Morgan Stanley,iron fly,2,credit,548.0,1096.0,404.0000000000001,1096.0,2026-07-14,2026-07-15,BMO,2026-07-17,221.08999633789062,0.3834949596741424,3.0470117839343516,0.050431951624620386,0.03645257344233385,12
GOOG,Alphabet Inc. (Class C),iron fly,2,credit,769.9999999999999,1539.9999999999998,460.00000000000034,1539.9999999999998,2026-07-22,2026-07-22,AMC,2026-07-24,350.6700134277344,0.31291014910717374,1.974458033059747,0.06922462449160216,0.05272609442365679,12
BAC,Bank of America,iron fly,2,credit,184.00000000000003,368.00000000000006,431.99999999999994,368.00000000000006,2026-07-13,2026-07-14,BMO,2026-07-17,59.5,0.27549732579485414,1.9644174307487623,0.03478991596638656,0.027275569507530295,12
JPM,JPMorgan Chase,iron fly,2,credit,527.9999999999999,1055.9999999999998,444.0000000000003,1055.9999999999998,2026-07-13,2026-07-14,BMO,2026-07-17,334.5299987792969,0.31956753984613423,1.9602169381676724,0.03392819789380999,0.025711603892413212,12
MRSH,Marsh McLennan,iron fly,3,credit,349.99999999999994,1049.9999999999998,450.00000000000017,1049.9999999999998,2026-07-20,2026-07-21,BMO,2026-08-21,181.52999877929688,1.1006691587801138,1.7164581065985964,0.07051176161556727,0.03356633352798609,12
NFLX,Netflix,iron fly,1,credit,451.0,451.0,249.00000000000003,451.0,2026-07-16,2026-07-16,AMC,2026-07-17,73.83000183105469,0.15595440957675483,1.0856265444825142,0.08106460587249456,0.07012785729341682,12
