ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
HPE,Hewlett Packard Enterprise,Information Technology,2026-09-02,AMC,2026-09-02,0.14031805225342978,0.145930774343567,0.06964316015313199,0.05602425233702214,0.08326206796924183,1.0148145481178226,6.650822734007929,5.542352278339921,iron fly,"short 53 straddle @ bid, long 46P / 60C @ ask",credit,459.0,459.0,241.0,0.08000000000000007,15.883213750569128,987,0.8333333333333333,12,False,,wide market,53.45000076293945,2026-09-04,53.0,7.2,7.5,7.800000000000001,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 53.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 53.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 60.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 46.0}]"
CRM,Salesforce,Information Technology,2026-08-26,AMC,2026-08-26,0.07983936580862573,0.08127360591297231,0.055556278054969266,0.04250023933826634,0.06861231677167219,0.4370898952163418,2.3836636778100213,1.9863863981750176,iron fly,"short 210 straddle @ bid, long 205P / 212.5C @ ask",credit,294.9999999999998,294.9999999999998,205.00000000000026,0.03592814371257494,11.8126666501101,3484,0.8333333333333333,12,False,,,209.1699981689453,2026-08-28,210.0,16.4,16.7,17.0,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 210.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 210.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 212.5}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 205.0}]"
CRWD,CrowdStrike,Information Technology,2026-08-26,AMC,2026-08-26,0.08895545856457679,0.0929929683969368,0.05902704975981205,0.04987763282811559,0.06817646669150852,0.5070287084742829,4.192206892584417,1.61120689502691,no affordable structure,,,,,,0.0907759882869695,26.981119234893786,1912,0.8333333333333333,12,False,,wide market,191.9499969482422,2026-08-28,190.0,16.299999999999997,17.075,17.85,
MRVL,Marvell Technology,Information Technology,2026-08-27,AMC,2026-08-27,0.11306108993873246,0.11643604784735134,0.10984567650339214,0.09226876265212451,0.12742259035465978,0.029272098253598763,0.234448088760187,0.19537340730015582,no trade,,,,,,0.05970149253731349,209.9237299642419,1519,0.8333333333333333,12,False,,,237.0399932861328,2026-08-28,235.0,26.0,26.8,27.6,
AVGO,Broadcom,Information Technology,2026-09-02,AMC,2026-09-02,0.09512823677233448,0.09743519829177769,0.09648985244139044,0.08084051507013884,0.11213918981264204,-0.014111490841827416,-0.11150929908814111,-0.09292441590678426,no trade,,,,,,0.04850213980028519,338.85648819577244,1499,0.8333333333333333,12,False,,,368.45001220703125,2026-09-04,370.0,34.2,35.05,35.9,
NVDA,Nvidia,Information Technology,2026-08-26,AMC,2026-08-26,0.06112611738721664,0.061475409486572166,0.06048341814572933,0.046814655535772715,0.07415218075568594,0.010626040346112501,0.06026027164230301,0.0502168930352525,no trade,,,,,,0.011428571428571321,108.69535135818752,25421,0.8333333333333333,12,False,,,214.72000122070312,2026-08-28,215.0,13.05,13.125,13.2,
A,Agilent Technologies,Health Care,2026-08-26,AMC,2026-08-26,0.08867924528301888,0.10125786163522013,0.05995999878416455,0.04927381443489025,0.07064618313343886,0.4789734336425484,3.444315118467072,0.0,screened out,,,,,,0.2836879432624114,87.59711960202752,369,0.8333333333333333,12,True,spread > 10%,spread > 10%,159.0,2026-09-18,160.0,12.1,14.100000000000001,16.1,
ADSK,Autodesk,Information Technology,2026-08-27,AMC,2026-08-27,0.09652319627525034,0.11937358559755451,0.05012084557684608,0.04188106723776107,0.058360623915931095,0.9258094145131577,7.217336463164939,0.0,screened out,,,,,,0.4734693877551021,98.4880678602775,240,0.8333333333333333,12,True,spread > 10%,spread > 10%,253.8249969482422,2026-08-28,255.0,18.7,24.5,30.3,
BBY,Best Buy,Consumer Discretionary,2026-08-27,BMO,2026-08-26,0.08208173303176988,0.09197811219162864,0.08446082797534404,0.07260695883357468,0.09631469711711341,-0.02816802771894056,-0.2572196506658526,0.0,screened out,,,,,,0.24113475177304963,831.9448693368458,180,0.8333333333333333,12,True,spread > 10%,spread > 10%,85.88999938964844,2026-08-28,86.0,6.2,7.050000000000001,7.9,
BF-B,Brown–Forman,Consumer Staples,2026-09-02,BMO,2026-09-01,0.08966244557366695,0.09493670707800031,0.06760848174846593,0.056541069254255866,0.07867589424267599,0.3262011400766509,2.553836323816809,0.0,screened out,,,,,,0.11764705882352933,47.830508348857066,2048,0.8333333333333333,12,True,spread > 10%,spread > 10%,28.440000534057617,2026-09-18,27.5,2.4000000000000004,2.5500000000000003,2.7,
