ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
ORCL,Oracle Corporation,Information Technology,2026-09-10,AMC,2026-09-10,0.11761556961565496,0.11934752579473423,0.11304808934893204,0.09355581229186784,0.13254036640599623,0.040402985075006656,0.30030779332221025,0.25025649443517517,no trade,,,,,,0.029451137884873052,75.838583986786,5430,0.8333333333333333,12,False,,,158.77999877929688,2026-09-11,160.0,18.4,18.675,18.950000000000003,
ADBE,Adobe Inc.,Information Technology,2026-09-10,AMC,2026-09-10,0.08151663803961984,0.08479981678690027,0.07865085442797408,0.06548864503785556,0.0918130638180926,0.03643677659306487,0.2790404078697105,0.0,screened out,,,,,,0.08055235903337168,229.1295640004704,128,0.8333333333333333,12,True,OI < 500,OI < 500; wide market,266.510009765625,2026-09-11,267.5,20.85,21.725,22.6,
CASY,Casey's,Consumer Staples,2026-09-08,AMC,2026-09-08,0.08967186127553615,0.09866549927957222,0.07196002191455982,0.05675407568210314,0.08716596814701649,0.2461344353397517,1.4928037346716267,0.0,screened out,,,,,,0.20058997050147484,101.55509905821897,78,0.8333333333333333,12,True,spread > 10%,spread > 10%,756.0900268554688,2026-09-18,760.0,61.0,67.8,74.6,
COO,Cooper Companies (The),Health Care,2026-09-09,AMC,2026-09-09,0.08370455965706643,0.10921109929505662,0.07082431068201317,0.060049819983897634,0.0815988013801287,0.18186197438451565,1.5320749304016195,0.0,screened out,,,,,,0.6094420600858367,396.0566241753836,249,0.8333333333333333,12,True,spread > 10%,spread > 10%,69.58999633789062,2026-09-18,70.0,4.050000000000001,5.825,7.6,
CPRT,Copart,Industrials,2026-09-10,AMC,2026-09-10,0.0785883720067298,0.09045076778133053,0.0449361870786662,0.03492335242128948,0.05494902173604292,0.7488883039664982,4.307335702585711,0.0,screened out,,,,,,0.30188679245283023,70.50000349135316,4557,0.8333333333333333,12,True,spread > 10%,spread > 10%,33.720001220703125,2026-09-18,32.5,2.25,2.6500000000000004,3.0500000000000003,
FDS,FactSet,Financials,2026-09-17,BMO,2026-09-16,0.06441250679030282,0.07252616445797591,0.055758194825599516,0.04727151544053222,0.06424487421066681,0.1552114804249359,1.3069147202001674,0.0,screened out,,,,,,0.25192802056555264,187.5055510077459,552,0.75,12,True,spread > 10%,spread > 10%; single-source date; squeeze risk (12% of float short — no short premium),301.9599914550781,2026-09-18,300.0,17.0,19.45,21.9,
FDXF,FedEx Freight,Industrials,2026-09-08,AMC,2026-09-08,0.07068366331177613,0.08574739483723663,0.057304151585663494,0.04319425793101163,0.07141404524031536,0.233482415425202,1.21525949435719,0.0,screened out,,,,,,0.4262295081967214,225.1761025936513,82,0.315,0,True,spread > 10%,spread > 10%; single-source date; thin history (n=0); low-conf moves,129.4499969482422,2026-09-18,130.0,7.199999999999999,9.149999999999999,11.1,
KR,Kroger,Consumer Staples,2026-09-11,BMO,2026-09-10,0.056664959743191905,0.06229732019959351,0.0516238802613735,0.04244719183952603,0.06080056868322098,0.09765014672076645,0.7040282035202616,0.0,screened out,,,,,,0.1987951807228916,223.45850632650289,231,0.8333333333333333,12,True,spread > 10%,spread > 10%,58.59000015258789,2026-09-11,59.0,2.99,3.3200000000000003,3.6500000000000004,
