ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
HPE,Hewlett Packard Enterprise,Information Technology,2026-09-02,AMC,2026-09-02,0.11853745088680276,0.1218793027360161,0.0750241726848113,0.06131213256948456,0.08873621280013805,0.5799901104514378,4.066981782042678,3.3891514850355646,iron fly,"short 51 straddle @ bid, long 47P / 57C @ ask",credit,351.99999999999994,351.99999999999994,248.00000000000006,0.05638474295190711,15.360147464414199,593,0.8333333333333333,12,False,,,50.869998931884766,2026-09-04,51.0,5.859999999999999,6.029999999999999,6.199999999999999,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 51.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 51.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 57.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 47.0}]"
AVGO,Broadcom,Information Technology,2026-09-02,AMC,2026-09-02,0.08399156193240796,0.08493832672069597,0.0958013387183139,0.08134537338932891,0.11025730404729887,-0.12327360915728322,-1.0470009843251173,-0.872500820270931,no trade,,,,,,0.022544283413848492,16.033576340204807,8354,0.8333333333333333,12,False,,,369.67999267578125,2026-09-04,370.0,30.700000000000003,31.05,31.4,
DELL,Dell Technologies,Information Technology,2026-09-01,AMC,2026-09-01,0.11188235294117646,0.11352941176470588,0.12880348865379526,0.10408922858289629,0.15351774872469423,-0.13137171896096939,-0.8774742786990278,-0.7312285655825231,no trade,,,,,,0.0294426919032597,19.467473714558405,685,0.8333333333333333,12,False,,,425.0,2026-09-04,425.0,46.85,47.55,48.25,
LULU,Lululemon Athletica,Consumer Discretionary,2026-09-03,AMC,2026-09-03,0.09766949152542373,0.1016949152542373,0.09081633323096991,0.07417367707923958,0.10745898938270024,0.07546173745007333,0.5277407398252864,0.38636117069638787,no trade,,,,,,0.08242950108459864,117.47645555104961,674,0.8333333333333333,12,False,,wide market,118.0,2026-09-04,118.0,11.05,11.525,12.0,
ADBE,Adobe Inc.,Information Technology,2026-09-10,AMC,2026-09-10,0.08703859468935657,0.09944771160289938,0.07783572155757651,0.06571781480670501,0.08995362830844801,0.11823457080657401,0.9733035950983109,0.0,screened out,,,,,,0.2851405622489959,269.67919117977834,392,0.8333333333333333,12,True,spread > 10%,spread > 10%,286.0799865722656,2026-09-11,285.0,21.35,24.9,28.45,
BF-B,Brown–Forman,Consumer Staples,2026-09-02,BMO,2026-09-01,0.08345978562443815,0.09104703886302343,0.06586328863465517,0.054704021147113785,0.07702255612219655,0.267166996282118,2.0208916550556193,0.0,screened out,,,,,,0.18181818181818177,86.235950746227,6235,0.8333333333333333,12,True,spread > 10%,spread > 10%,26.360000610351562,2026-09-18,27.5,2.0,2.2,2.4,
CASY,Casey's,Consumer Staples,2026-09-08,AMC,2026-09-08,0.08892829978512626,0.09831662468912786,0.07542523216415467,0.06101857251424287,0.08983189181406648,0.17902586751849375,1.2012174843835595,0.0,screened out,,,,,,0.21114369501466282,139.05469731071497,36,0.8333333333333333,12,True,spread > 10%,spread > 10%,766.9099731445312,2026-09-18,770.0,61.0,68.2,75.4,
CIEN,Ciena,Information Technology,2026-09-03,BMO,2026-09-02,0.11836372655442699,0.14236949993533657,0.102888963555086,0.08569503567050213,0.12008289143966988,0.15040255499372304,1.1534569874366662,0.0,screened out,,,,,,0.40562719812426723,310.2570731704503,107,0.8333333333333333,12,True,spread > 10%,spread > 10%,360.3299865722656,2026-09-04,360.0,34.0,42.65,51.3,
COO,Cooper Companies (The),Health Care,2026-09-09,AMC,2026-09-09,0.08407910078862038,0.11691686118245925,0.07677208069693948,0.06577732755940187,0.0877668338344771,0.09517809111525344,0.8517405377230279,0.0,screened out,,,,,,0.7811158798283262,898.8003312383096,212,0.8333333333333333,12,True,spread > 10%,spread > 10%,69.27999877929688,2026-09-18,70.0,3.55,5.824999999999999,8.1,
FDXF,FedEx Freight,Industrials,2026-09-08,AMC,2026-09-08,0.07682056928308989,0.0901465864036259,0.07514746163044242,0.059893050767556244,0.0904018724933286,0.022264326915996467,0.14056621307152206,0.0,screened out,,,,,,0.3469387755102039,1592.9658918778289,73,0.315,0,True,spread > 10%,spread > 10%; single-source date; thin history (n=0); low-conf moves,127.56999969482422,2026-09-18,130.0,8.100000000000001,9.8,11.5,
