ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
ADM,Archer Daniels Midland,iron fly,3,credit,340.00000000000006,1020.0000000000002,479.9999999999999,1020.0000000000002,2026-08-03,2026-08-04,BMO,2026-08-21,83.18000030517578,1.585792749923292,7.847760953116925,0.07724212522754959,0.029871738649526722,12
UBER,Uber,iron fly,2,credit,373.99999999999994,747.9999999999999,452.0000000000001,747.9999999999999,2026-08-04,2026-08-05,BMO,2026-08-07,70.73999786376953,0.5261530780042059,3.5237350476125444,0.07986994869409976,0.05233416611035374,12
OXY,Occidental Petroleum,iron fly,2,credit,227.99999999999997,455.99999999999994,344.00000000000006,455.99999999999994,2026-08-05,2026-08-05,AMC,2026-08-07,53.93000030517578,0.5516017323744946,3.363040525367772,0.05970702729054072,0.03848089754267549,12
HOOD,Robinhood Markets,iron fly,2,credit,577.0,1154.0,446.0000000000001,1154.0,2026-07-29,2026-07-29,AMC,2026-07-31,92.76000213623047,0.41897962821438467,2.7543665387882954,0.10942216220622081,0.07711327212210611,12
MSFT,Microsoft,iron fly,2,credit,815.0000000000002,1630.0000000000005,369.99999999999955,1630.0000000000005,2026-07-29,2026-07-29,AMC,2026-07-31,393.3500061035156,0.3391123911823254,2.324854169791166,0.07200965949024513,0.05377417158142085,12
PFE,Pfizer,iron fly,2,credit,97.0,194.0,406.00000000000006,194.0,2026-08-03,2026-08-04,BMO,2026-08-07,25.25,0.300611309174279,1.5639136412948327,0.04178217821782179,0.03212503068603033,12
