ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
LYB,LyondellBasell,iron fly,3,credit,335.00000000000006,1005.0000000000002,494.99999999999983,1005.0000000000002,2026-07-30,2026-07-31,BMO,2026-08-21,60.744998931884766,3.4748626502059303,16.461537327330507,0.11770516298827358,0.026303637047464877,12
CSGP,CoStar Group,iron fly,2,credit,305.0,610.0,389.99999999999994,610.0,2026-07-28,2026-07-28,AMC,2026-08-21,29.68000030517578,2.079552905526894,15.570239804915492,0.1617250657225548,0.05251576143806646,12
EXE,Expand Energy,iron fly,3,credit,340.00000000000006,1020.0000000000002,479.9999999999999,1020.0000000000002,2026-07-28,2026-07-28,AMC,2026-08-21,86.94999694824219,1.4765008107128479,10.211083890495669,0.08251869179789607,0.03332068030865837,12
OKE,Oneok,iron fly,3,credit,360.00000000000006,1080.0000000000002,419.99999999999983,1080.0000000000002,2026-08-03,2026-08-03,AMC,2026-08-21,93.58000183105469,2.019349476779542,10.109681373567163,0.07667236438991994,0.02539367005362333,12
APH,Amphenol,iron fly,2,credit,770.0,1540.0,459.99999999999994,1540.0,2026-07-28,2026-07-29,BMO,2026-08-21,150.5399932861328,1.4518611805012986,9.316192196504502,0.14481201655539155,0.05906207810908112,12
HBAN,Huntington Bancshares,iron fly,1,credit,94.99999999999999,94.99999999999999,205.00000000000003,94.99999999999999,2026-07-22,2026-07-23,BMO,2026-08-21,18.059999465942383,1.2626774315531513,5.606348406057006,0.06644518468912275,0.029365734488947158,12
