ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
CSCO,Cisco,Information Technology,2026-08-12,AMC,2026-08-12,0.08137507245010626,0.08262060927332218,0.06089288423163322,0.05158436942985128,0.07020139903341517,0.3363642316655574,2.8199957758857486,2.34999647990479,iron fly,"short 120 straddle @ bid, long 113P / 127C @ ask",credit,522.9999999999999,522.9999999999999,177.00000000000014,0.03061224489795926,12.162146055200841,1380,0.8333333333333333,12,False,,,120.43000030517578,2026-08-14,120.0,9.649999999999999,9.799999999999999,9.95,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 120.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 120.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 127.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 113.0}]"
SMCI,Supermicro,Information Technology,2026-08-11,AMC,2026-08-11,0.15047468172779954,0.15253164372828468,0.1235572706056063,0.10103657389936781,0.1460779673118448,0.2178537207099158,1.5318066995967619,1.2765055829973013,iron fly,"short 31.5 straddle @ bid, long 25.5P / 37.5C @ ask",credit,355.0,355.0,244.99999999999997,0.02733964248159829,15.283505468987782,17826,0.8333333333333333,12,False,,squeeze risk (19% of float short — no short premium),31.600000381469727,2026-08-14,31.5,4.69,4.755000000000001,4.82,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 31.5}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 31.5}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 37.5}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 25.5}]"
WMT,Walmart,Consumer Staples,2026-08-20,BMO,2026-08-19,0.053549354455290805,0.05456471731800448,0.05555815978753803,0.04873530774659837,0.06238101182847769,-0.036156801087890066,-0.37733266064692206,-0.314443883872435,no trade,,,,,,0.03792250618301724,101.0912154019225,2212,0.8333333333333333,12,False,,,113.26000213623047,2026-08-21,113.0,5.95,6.0649999999999995,6.18,
ADI,Analog Devices,Information Technology,2026-08-19,BMO,2026-08-18,0.0743576457505479,0.07993771340722076,0.054812866866092616,0.045562322882275415,0.06406341084990981,0.35657282681825453,2.7077962833469713,0.0,screened out,,,,,,0.1500872600349039,57.100340604118244,84,0.8333333333333333,12,True,spread > 10%,spread > 10%,385.29998779296875,2026-08-21,385.0,26.5,28.65,30.799999999999997,
AMCR,Amcor,Materials,2026-08-12,BMO,2026-08-11,0.05432489276596608,0.07911392150383409,0.05932607876684501,0.049576791861354025,0.06907536567233599,-0.08429995888543186,-0.6574347478805316,0.0,screened out,,,,,,0.9126213592233009,991.3260068116444,287,0.8333333333333333,12,True,spread > 10%,spread > 10%,47.400001525878906,2026-08-21,47.0,1.4,2.575,3.75,
AMAT,Applied Materials,Information Technology,2026-08-13,AMC,2026-08-13,0.0817621453124706,0.08618557725782242,0.054896909761426055,0.04583059163388935,0.06396322788896276,0.489376099088217,3.7976260481798643,0.0,screened out,,,,,,0.10820244328097729,32.930527908063134,178,0.8333333333333333,12,True,spread > 10%,spread > 10%,525.6099853515625,2026-08-14,525.0,40.65,42.974999999999994,45.3,
CAH,Cardinal Health,Health Care,2026-08-11,BMO,2026-08-10,0.02601348598558373,0.03579455671616321,0.061541573194026686,0.0516823739108637,0.07140077247718966,-0.5773022261948183,-4.618305732403543,0.0,screened out,,,,,,0.7519999999999999,55.06106013078627,342,0.8333333333333333,12,True,spread > 10%,spread > 10%,240.25999450683594,2026-08-14,240.0,3.9,6.25,8.6,
COHR,Coherent Corp.,Information Technology,2026-08-12,AMC,2026-08-12,0.1129135318896935,0.12691359244744527,0.09149111793255466,0.0705684259627873,0.11241380990232201,0.23414747181175552,1.3122100046753409,0.0,screened out,,,,,,0.24797843665768202,130.70478971942705,128,0.8333333333333333,12,True,spread > 10%,spread > 10%,328.57000732421875,2026-08-14,327.5,32.5,37.1,41.7,
DE,Deere & Company,Industrials,2026-08-20,BMO,2026-08-19,0.06335463909155749,0.07071769420947795,0.06177543796430138,0.05433082146858818,0.06922005446001459,0.025563576387247877,0.27186144052643224,0.0,screened out,,,,,,0.23243933588761176,932.5037819234475,26,0.8333333333333333,12,True,spread > 10%,spread > 10%,617.9500122070312,2026-08-21,617.5,34.6,39.150000000000006,43.7,
EL,Estée Lauder Companies (The),Consumer Staples,2026-08-19,BMO,2026-08-18,0.09683299291643127,0.11961722654382687,0.08521739639614274,0.06793413083670438,0.10250066195558111,0.13630546122639217,0.8613273023668988,0.0,screened out,,,,,,0.47058823529411764,392.3041505031485,51,0.8333333333333333,12,True,spread > 10%,spread > 10%,87.77999877929688,2026-08-21,88.0,6.5,8.5,10.5,
HD,Home Depot (The),Consumer Discretionary,2026-08-18,BMO,2026-08-17,0.05155438793050828,0.06022906606382227,0.03361771193305119,0.026697415884104223,0.040538007981998164,0.5335483876230933,3.321771755969736,0.0,screened out,,,,,,0.33652530779753775,96.72559324307142,2128,0.8333333333333333,12,True,spread > 10%,spread > 10%,354.4800109863281,2026-08-21,355.0,15.2,18.275,21.35,
INTU,Intuit,Information Technology,2026-08-25,AMC,2026-08-25,0.11770300711163698,0.13256449790856084,0.07576337259111451,0.06200164633916597,0.08952509884306306,0.5535608181919969,3.905748059324393,0.0,screened out,,,,,,0.25252525252525254,70.8708645977906,57,0.8333333333333333,12,True,spread > 10%,spread > 10%,336.44000244140625,2026-08-28,335.0,34.6,39.6,44.6,
KEYS,Keysight Technologies,Information Technology,2026-08-18,AMC,2026-08-18,0.10605178558458694,0.11230724070137328,0.07874475795160857,0.0625081973794889,0.09498131852372824,0.3467789900346066,2.15542487948581,0.0,screened out,,,,,,0.11796982167352531,45.81571601906384,255,0.8333333333333333,12,True,spread > 10%,spread > 10%,343.70001220703125,2026-08-21,340.0,34.3,36.449999999999996,38.599999999999994,
JKHY,Jack Henry & Associates,Financials,2026-08-18,AMC,2026-08-18,0.0538631760528296,0.07745882719379725,0.04120407870107795,0.034084462284940616,0.048323695117215286,0.30722922950393433,2.2787602895616392,0.0,screened out,,,,,,0.8761329305135951,372.78568108495824,152,0.8333333333333333,12,True,spread > 10%,spread > 10%,153.6300048828125,2026-08-21,155.0,4.65,8.275,11.9,
LITE,Lumentum,Information Technology,2026-08-11,AMC,2026-08-11,0.10876320340134926,0.11577035656166028,0.08424152301138911,0.06556284881108547,0.10292019721169275,0.2910878093531728,1.6825062234482389,0.0,screened out,,,,,,0.12885154061624648,57.15067686128017,1042,0.8333333333333333,12,True,spread > 10%,spread > 10%; squeeze risk (12% of float short — no short premium),820.5900268554688,2026-08-14,820.0,83.5,89.25,95.0,
LOW,Lowe's,Consumer Discretionary,2026-08-19,BMO,2026-08-18,0.05740112994350282,0.06463276836158192,0.029582261870102523,0.02459069415556931,0.034573829584635736,0.9403901633875937,7.142577915764865,0.0,screened out,,,,,,0.251968503937008,51.99088905413667,1586,0.8333333333333333,12,True,spread > 10%,spread > 10%,221.25,2026-08-21,220.0,11.1,12.7,14.3,
