ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
CSCO,Cisco,Information Technology,2026-08-12,AMC,2026-08-12,0.0813225724712371,0.0848225312864549,0.06003444582161997,0.0508258984966697,0.06924299314657024,0.3545985368611618,2.962776011394028,1.7189101331927206,iron fly,"short 121 straddle @ bid, long 114P / 128C @ ask",credit,469.99999999999994,469.99999999999994,230.00000000000006,0.08607594936708875,32.88179249234928,1349,0.8333333333333333,12,False,,wide market,121.43000030517578,2026-08-14,121.0,9.45,9.875,10.3,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 121.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 121.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 128.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 114.0}]"
SMCI,Supermicro,Information Technology,2026-08-11,AMC,2026-08-11,0.1405396761306004,0.14455509544861753,0.12355727236711961,0.10103657615854898,0.14607796857569022,0.13744560265964603,0.9664287667534045,0.805357305627837,no trade,,,,,,0.05714285714285714,47.28917500656734,13154,0.8333333333333333,12,False,,squeeze risk (19% of float short — no short premium),31.1299991607666,2026-08-14,31.0,4.25,4.375,4.5,
TGT,Target Corporation,Consumer Staples,2026-08-19,BMO,2026-08-18,0.08099532563245236,0.08316633436074489,0.07374219955762118,0.059874913732148885,0.08760948538309347,0.09835787538672053,0.6703262984908621,0.558605248742385,no trade,,,,,,0.0536082474226803,59.864083593585214,3501,0.8333333333333333,12,False,,,149.6999969482422,2026-08-21,150.0,11.8,12.125,12.45,
ADI,Analog Devices,Information Technology,2026-08-19,BMO,2026-08-18,0.0906572991665014,0.09796630348402698,0.054868076812251004,0.045616187481750385,0.06411996614275163,0.6522776892055991,4.957632514906598,0.0,screened out,,,,,,0.16124469589816132,40.84472272227252,864,0.8333333333333333,12,True,spread > 10%,spread > 10%,389.92999267578125,2026-08-21,390.0,32.5,35.35,38.2,
AMCR,Amcor,Materials,2026-08-12,BMO,2026-08-11,0.06424989470925567,0.07521938892790907,0.05850807211624083,0.048644192379961246,0.06837195185252042,0.09813727209481934,0.7460269216525696,0.0,screened out,,,,,,0.3414634146341463,382.09101869494333,282,0.8333333333333333,12,True,spread > 10%,spread > 10%,47.86000061035156,2026-08-21,47.0,2.55,3.0749999999999997,3.5999999999999996,
AMAT,Applied Materials,Information Technology,2026-08-13,AMC,2026-08-13,0.09821196453861368,0.10442556380592917,0.054038474433618006,0.04507212165968296,0.06300482720755304,0.8174451734247109,6.3139100530523695,0.0,screened out,,,,,,0.12653446647780917,28.13270698125249,507,0.8333333333333333,12,True,spread > 10%,spread > 10%,539.1400146484375,2026-08-14,540.0,49.6,52.95,56.3,
BRK-B,Berkshire Hathaway,Financials,2026-08-08,AMC,2026-08-07,0.023763894768276363,0.025680337894750264,0.03864673595754331,0.03282413177139327,0.04446934014369335,-0.385099564569101,-3.275827904210731,0.0,screened out,,,,,,0.16129032258064516,25.75372675287271,922,0.75,12,True,spread > 10%,spread > 10%; single-source date,521.7999877929688,2026-08-14,520.0,11.4,12.4,13.4,
CAH,Cardinal Health,Health Care,2026-08-11,BMO,2026-08-10,0.06324027236035529,0.07064297982728651,0.06334525248297618,0.054083689157709114,0.07260681580824324,-0.0016572689902704743,-0.014526977835791372,0.0,screened out,,,,,,0.23411371237458195,14103.065003389782,80,0.8333333333333333,12,True,spread > 10%,spread > 10%,236.39999389648438,2026-08-14,235.0,13.2,14.95,16.7,
COHR,Coherent Corp.,Information Technology,2026-08-12,AMC,2026-08-12,0.14823411303827347,0.16300477198870642,0.09154631845788859,0.07062228720591587,0.1124703497098613,0.6192252789112577,3.472135778203434,0.0,screened out,,,,,,0.19928825622775806,52.11230763083485,144,0.8333333333333333,12,True,spread > 10%,spread > 10%,379.1300048828125,2026-08-14,380.0,50.599999999999994,56.199999999999996,61.8,
DE,Deere & Company,Industrials,2026-08-20,BMO,2026-08-19,0.0682956668215739,0.07699369986017057,0.057737490922747395,0.05141745497367853,0.06405752687181626,0.18286516663762395,2.141025516465555,0.0,screened out,,,,,,0.2547169811320754,164.76393501956005,322,0.8333333333333333,12,True,spread > 10%,spread > 10%,620.8300170898438,2026-08-21,620.0,37.0,42.4,47.8,
EL,Estée Lauder Companies (The),Consumer Staples,2026-08-19,BMO,2026-08-18,0.10752688357750995,0.12224108869864289,0.08521740599162793,0.06793412806685925,0.1025006839163966,0.26179484491787725,1.6543057745482082,0.0,screened out,,,,,,0.2736842105263159,131.90990299516878,42,0.8333333333333333,12,True,spread > 10%,spread > 10%,88.3499984741211,2026-08-21,88.0,8.2,9.5,10.8,
FERG,Ferguson Enterprises,Industrials,2026-08-10,BMO,2026-08-07,0.08181074369966394,0.09310841782961754,0.05843007513959857,0.04813023611533564,0.0687299141638615,0.4001478434557086,2.9092362274782344,0.0,screened out,,,,,,0.27619047619047604,96.64115549929338,143,0.8333333333333333,12,True,spread > 10%,spread > 10%,256.69000244140625,2026-08-21,260.0,18.1,21.0,23.9,
HD,Home Depot (The),Consumer Discretionary,2026-08-18,BMO,2026-08-17,0.05638040682552992,0.06102019092837903,0.03361772240583334,0.026697438990726217,0.04053800582094047,0.6771037057450032,4.215529134052314,0.0,screened out,,,,,,0.16458852867830429,40.766581105296055,1357,0.8333333333333333,12,True,spread > 10%,spread > 10%,355.6199951171875,2026-08-21,355.0,18.4,20.049999999999997,21.7,
JKHY,Jack Henry & Associates,Financials,2026-08-18,AMC,2026-08-18,0.06797050469656632,0.08977236469357817,0.040386067462993364,0.03315186372369735,0.04762027120228938,0.6830186489152275,4.886814918760823,0.0,screened out,,,,,,0.6415094339622641,158.07362544613994,110,0.8333333333333333,12,True,spread > 10%,spread > 10%,155.9499969482422,2026-08-21,150.0,7.2,10.6,14.0,
KEYS,Keysight Technologies,Information Technology,2026-08-18,AMC,2026-08-18,0.11452620424142154,0.12200486802671284,0.07879995847694249,0.06256205862261746,0.09503785833126752,0.4533789922609267,2.819746209948504,0.0,screened out,,,,,,0.13060179257362362,41.866496886314216,262,0.8333333333333333,12,True,spread > 10%,spread > 10%,340.9700012207031,2026-08-21,340.0,36.5,39.05,41.6,
LITE,Lumentum,Information Technology,2026-08-11,AMC,2026-08-11,0.13845670194030735,0.14547783287034324,0.08429672353672303,0.06561671005421403,0.10297673701923203,0.6424920937762196,3.71581253873435,0.0,screened out,,,,,,0.10141987829614604,25.927377140797425,44,0.8333333333333333,12,True,spread > 10%,spread > 10%; squeeze risk (12% of float short — no short premium),890.1699829101562,2026-08-14,890.0,117.0,123.25,129.5,
LOW,Lowe's,Consumer Discretionary,2026-08-19,BMO,2026-08-18,0.06156256827513724,0.07074098754524862,0.02958228569971697,0.024590710326301578,0.034573861073132366,1.08106191996267,8.211020986870272,0.0,screened out,,,,,,0.29818181818181827,57.40048886976263,178,0.8333333333333333,12,True,spread > 10%,spread > 10%,223.35000610351562,2026-08-21,222.5,11.7,13.75,15.8,
NDSN,Nordson Corporation,Industrials,2026-08-19,AMC,2026-08-19,0.04836993553430711,0.05965625382564543,0.042180428192570785,0.035091298131904036,0.04926955825323753,0.14673884564373574,1.118962769942918,0.0,screened out,,,,,,0.4666666666666667,364.6919752476523,61,0.8333333333333333,12,True,spread > 10%,spread > 10%,310.1099853515625,2026-08-21,310.0,11.5,15.0,18.5,
PPL,PPL Corporation,Utilities,2026-08-07,BMO,2026-08-06,0.03384094842025701,0.042301185525321264,0.02944129299884999,0.0250204302167131,0.03386215578098688,0.1494382540053142,1.2754520250795347,0.0,screened out,,,,,,0.5000000000000001,384.5863502809793,688,0.8333333333333333,12,True,spread > 10%,spread > 10%,35.459999084472656,2026-08-21,35.0,0.8999999999999999,1.2,1.5,
ROST,Ross Stores,Consumer Discretionary,2026-08-20,AMC,2026-08-20,0.06876151037801538,0.07600987471985746,0.04990086293667814,0.04128200246292284,0.05851972341043345,0.37796235037599485,2.8045245464202253,0.0,screened out,,,,,,0.2108262108262108,76.86230670910797,20,0.8333333333333333,12,True,spread > 10%,spread > 10%,255.22999572753906,2026-08-21,255.0,15.7,17.549999999999997,19.4,
SPG,Simon Property Group,Real Estate,2026-08-10,AMC,2026-08-10,0.04598268283884252,0.05159032708748185,0.04202560966064961,0.03610797219759586,0.04794324712370336,0.09415861447687905,0.8569948762212588,0.0,screened out,,,,,,0.24390243902439024,283.4238335314381,884,0.8333333333333333,12,True,spread > 10%,spread > 10%,222.91000366210938,2026-08-21,220.0,9.0,10.25,11.5,
TECH,Bio-Techne,Health Care,2026-08-12,BMO,2026-08-11,0.029049660719383613,0.038041222370621394,0.07120918119030442,0.060005734634280376,0.08241262774632846,-0.5920517518415321,-4.822769597314636,0.0,screened out,,,,,,0.6190476190476191,42.65495219491238,417,0.75,12,True,spread > 10%,spread > 10%; single-source date,72.29000091552734,2026-08-21,70.0,1.45,2.1,2.75,
