ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
LYB,LyondellBasell,iron fly,2,credit,325.0,650.0,350.0,650.0,2026-07-30,2026-07-31,BMO,2026-08-21,60.72999954223633,3.5072683481128455,16.61505349743906,0.11855755070428685,0.026303637047464877,12
APH,Amphenol,iron fly,2,credit,309.99999999999994,619.9999999999999,380.00000000000006,619.9999999999999,2026-07-28,2026-07-29,BMO,2026-08-21,150.50999450683594,1.4692238382574787,9.427603575823047,0.1458374912039683,0.05906207810908112,12
Q,Qnity Electronics,iron fly,2,credit,790.0,1580.0,419.99999999999994,1580.0,2026-08-03,2026-08-04,BMO,2026-08-21,134.5800018310547,2.677306114941155,5.435545231037886,0.2121414743019569,0.05768937033553205,0
OKE,Oneok,iron fly,2,credit,305.00000000000006,610.0000000000001,389.9999999999999,610.0000000000001,2026-08-03,2026-08-03,AMC,2026-08-21,93.55999755859375,2.0410403123253285,5.126815916424957,0.07722317431095704,0.02539367005362333,12
ADM,Archer Daniels Midland,iron fly,3,credit,340.0,1020.0,480.0,1020.0,2026-08-03,2026-08-04,BMO,2026-08-21,85.66999816894531,1.5925569788893323,4.682694401330281,0.08521069401220312,0.0328674334666727,0
BA,Boeing,iron fly,2,credit,535.0,1070.0,430.00000000000006,1070.0,2026-07-27,2026-07-28,BMO,2026-07-31,209.47999572753906,0.6878890604550929,4.668005475147608,0.0677869022800119,0.04016075692897436,12
