ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
ADM,Archer Daniels Midland,iron fly,3,credit,350.0,1050.0,450.0,1050.0,2026-08-03,2026-08-04,BMO,2026-08-21,80.37999725341797,1.5179899588484362,8.837700193327624,0.0789997538813051,0.031374133802119855,12
HOOD,Robinhood Markets,iron fly,2,credit,478.0,956.0,443.99999999999994,956.0,2026-07-29,2026-07-29,AMC,2026-07-31,89.83999633789062,0.26477259746175347,1.7390394843085963,0.09544746604562622,0.07546610848240846,12
PLTR,Palantir Technologies,iron fly,2,credit,765.0,1530.0,469.99999999999994,1530.0,2026-08-03,2026-08-03,AMC,2026-08-07,123.0,0.15485643703053617,0.8564541225273695,0.12235772357723577,0.10595059234535872,12
AMZN,Amazon,iron fly,2,credit,560.0,1120.0,380.00000000000006,1120.0,2026-07-30,2026-07-30,AMC,2026-07-31,226.64999389648438,0.26475771804225773,0.6989313397302368,0.07026252119500725,0.055554135145953434,12
