ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
AZO,AutoZone,Consumer Discretionary,2026-09-22,BMO,2026-09-21,0.09362996436951422,0.10376292691405231,0.04104754604764439,0.033982204270517756,0.04811288782477103,1.2810124693163574,9.538056253623257,0.0,screened out,,,,,,0.21644700204195289,38.541257203165394,17,0.8333333333333333,12,True,spread > 10%,spread > 10%,2876.75,2026-10-16,2900.0,240.2,269.35,298.5,
CCL,Carnival Corporation,Consumer Discretionary,2026-09-28,BMO,2026-09-25,0.08989010989010988,0.09582417582417581,0.04834595952589824,0.041824872606778814,0.05486704644501767,0.8593096666528468,8.164740597256642,0.0,screened out,,,,,,0.13202933985330054,28.567516158317428,715,0.75,12,True,spread > 10%,spread > 10%; single-source date,22.75,2026-10-02,23.0,1.9100000000000001,2.045,2.1799999999999997,
COST,Costco,Consumer Staples,2026-09-24,AMC,2026-09-24,0.04025884944648291,0.04349171518789574,0.029896676612912225,0.024304831976691508,0.035488521249132945,0.34659948889085945,2.3749158940295003,0.0,screened out,,,,,,0.16060398078242952,62.397448746255336,254,0.8333333333333333,12,True,spread > 10%,spread > 10%,904.77001953125,2026-09-25,905.0,33.5,36.425,39.349999999999994,
CTAS,Cintas,Industrials,2026-09-23,BMO,2026-09-22,0.05297766749379653,0.06253101736972705,0.04263009352434315,0.03419384128195056,0.05106634576673574,0.2427293283685756,1.5719599673196107,0.0,screened out,,,,,,0.360655737704918,184.64907627879822,7,0.8333333333333333,12,True,spread > 10%,spread > 10%,201.5,2026-09-25,200.0,8.75,10.675,12.6,
DRI,Darden Restaurants,Consumer Discretionary,2026-09-24,BMO,2026-09-23,0.08290056720471908,0.0890942877430027,0.04142077319231041,0.03220520037845458,0.05063634600616624,1.0014249087003817,5.768551242563555,0.0,screened out,,,,,,0.14942528735632174,29.863796027679193,496,0.8333333333333333,12,True,spread > 10%,spread > 10%,209.88999938964844,2026-10-16,210.0,16.1,17.4,18.7,
GIS,General Mills,Consumer Staples,2026-09-23,BMO,2026-09-22,0.08856346262586107,0.09483961352060713,0.035109408776978324,0.02944896162317153,0.040769855930785116,1.5224994014690796,12.102703823788135,0.0,screened out,,,,,,0.14173228346456684,23.482413186057116,7636,0.8333333333333333,12,True,spread > 10%,spread > 10%; squeeze risk (11% of float short — no short premium),35.849998474121094,2026-10-16,35.0,2.95,3.175,3.4,
LEN,Lennar,Consumer Discretionary,2026-09-16,AMC,2026-09-16,0.06783919728033166,0.07286432300480068,0.04366719423316315,0.040121997544557975,0.04721239092176832,0.5535506338717553,8.73825680950851,0.0,screened out,,,,,,0.14814814814814828,41.578066283237995,2197,0.8333333333333333,12,True,spread > 10%,spread > 10%,79.5999984741211,2026-09-18,80.0,5.0,5.4,5.800000000000001,
PAYX,Paychex,Industrials,2026-09-23,BMO,2026-09-22,0.0859240046440479,0.09930915109613576,0.04010159836993269,0.032637091237575536,0.047566105502289846,1.1426578524728295,7.867364159428628,0.0,screened out,,,,,,0.3115577889447236,58.42184005796766,62,0.8333333333333333,12,True,spread > 10%,spread > 10%,115.80000305175781,2026-10-16,115.0,8.4,9.95,11.5,
