ticker,name,structure,contracts,entry_side,entry_price,cash_flow,position_risk,position_max_gain,entry_by,earnings_date,session,expiry,spot,edge,score,implied_move_mid,fair_move,n_events
XOM,ExxonMobil,iron fly,3,credit,368.0,1104.0,396.0000000000001,1104.0,2026-07-30,2026-07-31,BMO,2026-07-31,156.88999938964844,1.5702416817841962,9.376387452170727,0.046210721067020115,0.017979134567198293,12
APH,Amphenol,iron fly,2,credit,760.0,1520.0,479.9999999999999,1520.0,2026-07-28,2026-07-29,BMO,2026-08-21,157.42999267578125,1.2218848347488533,7.970743977132427,0.13974465491660054,0.06289464365167978,12
SYY,Sysco,iron fly,2,credit,290.0,580.0,420.0,580.0,2026-08-03,2026-08-04,BMO,2026-08-21,81.7300033569336,0.6313971636059695,3.525581929557396,0.06178881429804299,0.03787478345338524,12
MSFT,Microsoft,iron fly,2,credit,755.0000000000001,1510.0000000000002,489.9999999999999,1510.0000000000002,2026-07-29,2026-07-29,AMC,2026-07-31,381.5799865722656,0.36071016666837646,2.598526052599522,0.07704806602699556,0.05662342202942709,12
MNST,Monster Beverage,iron fly,2,credit,330.00000000000006,660.0000000000001,339.9999999999999,660.0000000000001,2026-08-06,2026-08-06,AMC,2026-08-21,93.55999755859375,0.5593047108243744,2.2139511157644622,0.07989525646704551,0.05123774456168123,12
META,Meta Platforms,iron fly,1,credit,309.9999999999998,309.9999999999998,190.00000000000023,309.9999999999998,2026-07-29,2026-07-29,AMC,2026-07-31,606.0999755859375,0.2634194358126446,1.577326888714111,0.09367266505020673,0.07414217511222272,12
F,Ford Motor Company,iron fly,1,credit,91.0,91.0,159.0,91.0,2026-07-28,2026-07-28,AMC,2026-07-31,14.149999618530273,0.33443026011054205,1.4728053510001167,0.0703180230971164,0.05269516526947716,12
