ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
SMCI,Supermicro,Information Technology,2026-08-11,AMC,2026-08-11,0.13747616420416994,0.13922441600329816,0.1235572706056063,0.10103657389936781,0.1460779673118448,0.11265135212473759,0.7920915710825991,0.6600763092354992,no trade,,,,,,0.02543352601156077,25.12055698606085,17380,0.8333333333333333,12,False,,squeeze risk (20% of float short — no short premium),31.459999084472656,2026-08-14,31.5,4.27,4.324999999999999,4.38,
WMT,Walmart,Consumer Staples,2026-08-20,BMO,2026-08-19,0.05476655245374485,0.056097992140626815,0.05555815978753803,0.04873530774659837,0.06238101182847769,-0.0142482641041459,-0.1486949963009336,-0.12391249691744466,no trade,,,,,,0.04862236628849282,336.3889216392298,2238,0.8333333333333333,12,False,,,112.66000366210938,2026-08-21,113.0,6.02,6.17,6.32,
ADI,Analog Devices,Information Technology,2026-08-19,BMO,2026-08-18,0.07892166689691803,0.08621475822732629,0.054812866866092616,0.045562322882275415,0.06406341084990981,0.43983833375698106,3.340110394973333,0.0,screened out,,,,,,0.18481848184818464,60.50148759858096,84,0.8333333333333333,12,True,spread > 10%,spread > 10%,383.92498779296875,2026-08-21,385.0,27.5,30.299999999999997,33.099999999999994,
AMAT,Applied Materials,Information Technology,2026-08-13,AMC,2026-08-13,0.08671378308321294,0.09403968524319724,0.05403848600507477,0.04507213411249515,0.06300483789765439,0.6046671454686873,4.6704235163911205,0.0,screened out,,,,,,0.16896742131419087,44.84061548065183,81,0.8333333333333333,12,True,spread > 10%,spread > 10%,522.1199951171875,2026-08-14,522.5,41.45,45.275,49.099999999999994,
AMCR,Amcor,Materials,2026-08-12,BMO,2026-08-11,0.0758862227485189,0.1061345772706558,0.058924542731304964,0.04911335280298987,0.06873573265962006,0.2878542493670073,2.2156424724105332,0.0,screened out,,,,,,0.7972027972027972,356.6669633130526,287,0.8333333333333333,12,True,spread > 10%,spread > 10%,47.11000061035156,2026-08-21,47.0,2.15,3.575,5.0,
CAH,Cardinal Health,Health Care,2026-08-11,BMO,2026-08-10,0.06788093640768543,0.07884307520644208,0.06334522434375814,0.05408365612681917,0.07260679256069712,0.0716030625973184,0.627644092767958,0.0,screened out,,,,,,0.3229813664596275,483.37013656307715,83,0.8333333333333333,12,True,spread > 10%,spread > 10%,237.17999267578125,2026-08-14,237.5,13.5,16.1,18.700000000000003,
COHR,Coherent Corp.,Information Technology,2026-08-12,AMC,2026-08-12,0.11902199208504564,0.13163155713798327,0.09149111793255466,0.0705684259627873,0.11241380990232201,0.30091308068599815,1.6863780418320986,0.0,screened out,,,,,,0.2118863049095606,91.60308519878025,428,0.8333333333333333,12,True,spread > 10%,spread > 10%,325.1499938964844,2026-08-14,325.0,34.6,38.7,42.8,
CSCO,Cisco,Information Technology,2026-08-12,AMC,2026-08-12,0.08056620726594481,0.08484947398134947,0.06003446047528194,0.050825911908457075,0.0692430090421068,0.341999355505434,2.8575064241624037,0.0,screened out,,,,,,0.10632911392405052,41.72335417026025,616,0.8333333333333333,12,True,spread > 10%,spread > 10%,122.56999969482422,2026-08-14,123.0,9.350000000000001,9.875,10.4,
DE,Deere & Company,Industrials,2026-08-20,BMO,2026-08-19,0.06524093698897784,0.06844143578466357,0.0577374840693205,0.05141743674146093,0.06405753139718007,0.1299580859922574,1.5215748811630625,0.0,screened out,,,,,,0.09811320754716996,85.30735995693743,211,0.8333333333333333,12,True,OI < 500,OI < 500; wide market,609.280029296875,2026-08-21,610.0,37.8,39.75,41.7,
EL,Estée Lauder Companies (The),Consumer Staples,2026-08-19,BMO,2026-08-18,0.1020759232800918,0.1123982076567303,0.08521739639614274,0.06793413083670438,0.10250066195558111,0.19782964038915568,1.25010450022682,0.0,screened out,,,,,,0.20224719101123603,122.4577265581409,338,0.8333333333333333,12,True,spread > 10%,spread > 10%,87.19000244140625,2026-08-21,87.0,8.0,8.9,9.8,
FERG,Ferguson Enterprises,Industrials,2026-08-10,BMO,2026-08-07,0.044260368693717383,0.055728258655044584,0.05843004462495252,0.04813021012101319,0.06872987912889185,-0.24250667652552133,-1.76312121000832,0.0,screened out,,,,,,0.5182012847965739,161.86523978361126,274,0.75,12,True,spread > 10%,spread > 10%; single-source date,263.7799987792969,2026-08-21,260.0,8.65,11.675,14.700000000000001,
HD,Home Depot (The),Consumer Discretionary,2026-08-18,BMO,2026-08-17,0.05616055666958028,0.05929642531610506,0.03361771193305119,0.026697415884104223,0.040538007981998164,0.6705645161521576,4.1748083622422305,0.0,screened out,,,,,,0.11167512690355325,27.821410147436556,2220,0.8333333333333333,12,True,spread > 10%,spread > 10%,350.7799987792969,2026-08-21,350.0,18.6,19.700000000000003,20.8,
JKHY,Jack Henry & Associates,Financials,2026-08-18,AMC,2026-08-18,0.05932421905709382,0.07286561688534351,0.04080254266553791,0.03362102322657646,0.047984062104499355,0.45393436735989107,3.3053423673320625,0.0,screened out,,,,,,0.4565217391304349,146.22216198986442,151,0.8333333333333333,12,True,spread > 10%,spread > 10%,155.0800018310547,2026-08-21,155.0,7.1,9.2,11.3,
KEYS,Keysight Technologies,Information Technology,2026-08-18,AMC,2026-08-18,0.11016367906910515,0.11836259970347698,0.07874475795160857,0.0625081973794889,0.09498131852372824,0.39899698640009307,2.479988857574093,0.0,screened out,,,,,,0.14884979702300405,52.190975009679825,258,0.8333333333333333,12,True,spread > 10%,spread > 10%,335.4100036621094,2026-08-21,340.0,34.2,36.95,39.7,
LITE,Lumentum,Information Technology,2026-08-11,AMC,2026-08-11,0.11696229776866918,0.1228011933482927,0.08424152301138911,0.06556284881108547,0.10292019721169275,0.388416229759478,2.2450707410619346,0.0,screened out,,,,,,0.09984235417761429,35.68922571629773,31,0.8333333333333333,12,True,OI < 500,OI < 500; wide market; squeeze risk (13% of float short — no short premium),813.510009765625,2026-08-14,815.0,90.4,95.15,99.9,
LOW,Lowe's,Consumer Discretionary,2026-08-19,BMO,2026-08-18,0.06167763020303224,0.06761695755591683,0.029582261870102523,0.02459069415556931,0.034573829584635736,1.0849531544904305,8.24058219940012,0.0,screened out,,,,,,0.1925925925925927,37.010495042618736,1576,0.8333333333333333,12,True,spread > 10%,spread > 10%,218.8800048828125,2026-08-21,220.0,12.2,13.5,14.8,
NDSN,Nordson Corporation,Industrials,2026-08-19,AMC,2026-08-19,0.04778333938046404,0.05895978147284377,0.042180392474038236,0.03509126656411293,0.04926951838396354,0.1328329723312647,1.0129227279235862,0.0,screened out,,,,,,0.4677966101694914,398.94870606615547,61,0.8333333333333333,12,True,spread > 10%,spread > 10%,308.68499755859375,2026-08-21,310.0,11.3,14.75,18.2,
ROST,Ross Stores,Consumer Discretionary,2026-08-20,AMC,2026-08-20,0.07004807304530464,0.08123221916178186,0.04990084801488874,0.04128199455361563,0.05851970147616185,0.40374514325697713,2.9958374063325794,0.0,screened out,,,,,,0.3193277310924371,111.02418421983884,20,0.8333333333333333,12,True,spread > 10%,spread > 10%,254.8249969482422,2026-08-21,255.0,15.0,17.85,20.700000000000003,
SPG,Simon Property Group,Real Estate,2026-08-10,AMC,2026-08-10,0.04466107396828482,0.04806166335673291,0.042442095813978176,0.03657715569549347,0.04830703593246288,0.052282483033644946,0.48488856580076173,0.0,screened out,,,,,,0.15228426395939088,306.5004837337525,856,0.8333333333333333,12,True,spread > 10%,spread > 10%,220.5500030517578,2026-08-21,220.0,9.1,9.85,10.6,
TECH,Bio-Techne,Health Care,2026-08-12,BMO,2026-08-11,0.02183860149776053,0.03951746937690001,0.07120917818616808,0.060005726952258615,0.08241262942007754,-0.693317602392966,-5.647664256559966,0.0,screened out,,,,,,1.6190476190476193,71.6170199538729,417,0.8333333333333333,12,True,spread > 10%,spread > 10%,72.12000274658203,2026-08-21,70.0,0.3,1.575,2.85,
TGT,Target Corporation,Consumer Staples,2026-08-19,BMO,2026-08-18,0.0774569113871094,0.08091040425150282,0.07374220630975858,0.05987492021391947,0.0876094924055977,0.050374205807553085,0.3433091373633143,0.0,screened out,,,,,,0.08917197452229306,185.93631486116848,295,0.8333333333333333,12,True,OI < 500,OI < 500; wide market,152.02000427246094,2026-08-21,152.5,11.25,11.775,12.3,
TJX,TJX Companies,Consumer Discretionary,2026-08-19,BMO,2026-08-18,0.050371487413853465,0.05477899256256564,0.029746357456927115,0.023948268384226132,0.0355444465296281,0.6933665739340237,4.558944545583391,0.0,screened out,,,,,,0.17499999999999993,42.73917456924478,2654,0.8333333333333333,12,True,spread > 10%,spread > 10%,158.82000732421875,2026-08-21,160.0,7.3,8.0,8.7,
TRMB,Trimble Inc.,Information Technology,2026-08-12,BMO,2026-08-11,0.09069130945492061,0.10266940693009881,0.061170906113467705,0.04635044737393898,0.07599136485299643,0.48258894983008177,2.5527785331973543,0.0,screened out,,,,,,0.26415094339622647,81.1513131215142,557,0.8333333333333333,12,True,spread > 10%,spread > 10%,58.439998626708984,2026-08-21,60.0,4.6,5.3,6.0,
TPR,"Tapestry, Inc.",Consumer Discretionary,2026-08-13,BMO,2026-08-12,0.0925476399622114,0.10741594933318961,0.08454580529919689,0.07457487053711029,0.0945167400612835,0.09464496357562655,1.028504503220048,0.0,screened out,,,,,,0.32131147540983607,371.62250901537465,12,0.8333333333333333,12,True,spread > 10%,spread > 10%; squeeze risk (10% of float short — no short premium),164.77999877929688,2026-08-14,160.0,12.799999999999999,15.25,17.7,
VST,Vistra Corp.,Utilities,2026-08-10,BMO,2026-08-07,0.045845875438208256,0.05074543464534502,0.037988984241093614,0.0322060337510856,0.04377193473110163,0.20682024945051442,1.7412204679290222,0.0,screened out,,,,,,0.21374045801526723,124.7200472608319,480,0.7124999999999999,12,True,spread > 10%,spread > 10%; single-source date,142.8699951171875,2026-08-14,143.0,5.85,6.55,7.25,
