ticker,name,sector,earnings_date,session,entry_by,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask,legs_json
LYB,LyondellBasell,Materials,2026-07-31,BMO,2026-07-30,0.11770516298827358,0.1218207281277237,0.026303637047464877,0.020373642311024683,0.03223363178390507,3.4748626502059303,19.75384479279661,16.461537327330507,iron fly,"short 60 straddle @ bid, long 55P / 65C @ ask",credit,335.00000000000006,335.00000000000006,164.99999999999994,0.06993006993006992,9.005462648655012,553,0.8333333333333333,12,False,,,60.744998931884766,2026-08-21,60.0,6.9,7.15,7.4,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 60.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 60.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 65.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 55.0}]"
CSGP,CoStar Group,Real Estate,2026-07-28,AMC,2026-07-28,0.1617250657225548,0.1667789740263846,0.05251576143806646,0.04502483397405836,0.060006688902074556,2.079552905526894,18.684287765898592,15.570239804915492,iron fly,"short 30 straddle @ bid, long 25P / 35C @ ask",credit,305.0,305.0,194.99999999999997,0.06249999999999978,9.25545371237688,578,0.8333333333333333,12,False,,,29.68000030517578,2026-08-21,30.0,4.65,4.8,4.949999999999999,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 30.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 30.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 35.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 25.0}]"
KLAC,KLA Corporation,Information Technology,2026-07-28,AMC,2026-07-28,0.22278419383542,0.22880538826340432,0.04920973572025898,0.036938437771982316,0.06148103366853565,3.527238168924016,18.127913319196267,15.106594432663554,no affordable structure,,,,,,0.05405405405405406,6.937880715133163,693,0.8333333333333333,12,False,,,207.60000610351562,2026-08-21,208.0,45.0,46.25,47.5,
EXE,Expand Energy,Energy,2026-07-28,AMC,2026-07-28,0.08251869179789607,0.08568142911419173,0.03332068030865837,0.028174950743218935,0.0384664098740978,1.4765008107128479,12.253300668594804,10.211083890495669,iron fly,"short 85 straddle @ bid, long 80P / 90C @ ask",credit,340.00000000000006,340.00000000000006,159.99999999999997,0.07665505226480833,12.8571754042845,1721,0.8333333333333333,12,False,,,86.94999694824219,2026-08-21,85.0,6.9,7.175000000000001,7.45,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 85.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 85.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 90.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 80.0}]"
BLDR,Builders FirstSource,Industrials,2026-07-30,BMO,2026-07-29,0.16435153555863463,0.16916517885951515,0.04490214088779236,0.03230722507587034,0.05749705669971438,2.660216023314764,12.154614329795194,10.128845274829327,iron fly,"short 75 straddle @ bid, long 70P / 80C @ ask",credit,380.00000000000006,380.00000000000006,119.99999999999993,0.058577405857740676,8.059719874085784,915,0.8333333333333333,12,False,,squeeze risk (8% of float short — no short premium),72.70999908447266,2026-08-21,75.0,11.6,11.95,12.3,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 75.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 75.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 80.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 70.0}]"
OKE,Oneok,Energy,2026-08-03,AMC,2026-08-03,0.07667236438991994,0.07854242205796676,0.02539367005362333,0.019976521527621773,0.03081081857962489,2.019349476779542,12.131617648280598,10.109681373567163,iron fly,"short 95 straddle @ bid, long 90P / 100C @ ask",credit,360.00000000000006,360.00000000000006,139.99999999999994,0.048780487804878,7.2937023543641315,3172,0.8333333333333333,12,False,,,93.58000183105469,2026-08-21,95.0,7.0,7.175,7.35,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 95.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 95.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 100.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 90.0}]"
APH,Amphenol,Information Technology,2026-07-29,BMO,2026-07-28,0.14481201655539155,0.14813339308189136,0.05906207810908112,0.04923178131732737,0.06889237490083487,1.4518611805012986,11.179430635805403,9.316192196504502,iron fly,"short 150 straddle @ bid, long 140P / 160C @ ask",credit,770.0,770.0,229.99999999999997,0.045871559633027366,7.746656351431361,3020,0.8333333333333333,12,False,,,150.5399932861328,2026-08-21,150.0,21.3,21.799999999999997,22.299999999999997,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 150.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 150.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 160.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 140.0}]"
HBAN,Huntington Bancshares,Financials,2026-07-23,BMO,2026-07-22,0.06644518468912275,0.06921373405116954,0.029365734488947158,0.023479423420141178,0.03525204555775314,1.2626774315531513,8.073141704722127,5.606348406057006,iron fly,"short 18 straddle @ bid, long 15P / 21C @ ask",credit,94.99999999999999,94.99999999999999,205.00000000000003,0.08333333333333341,14.933065873957718,2426,0.8333333333333333,12,False,,wide market,18.059999465942383,2026-08-21,18.0,1.15,1.2,1.25,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 18.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 18.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 21.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 15.0}]"
COIN,Coinbase,Financials,2026-07-30,AMC,2026-07-30,0.13214486671980247,0.136508140620928,0.06840512990292155,0.054780199158841344,0.08203006064700176,0.9317976138242612,5.995542160095526,4.996285133412938,iron fly,"short 160 straddle @ bid, long 155P / 165C @ ask",credit,380.0,380.0,120.00000000000001,0.06603773584905653,13.690906549115132,1129,0.8333333333333333,12,False,,squeeze risk (11% of float short — no short premium),160.42999267578125,2026-07-31,160.0,20.5,21.2,21.9,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 160.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 160.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 165.0}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 155.0}]"
BA,Boeing,Industrials,2026-07-28,BMO,2026-07-27,0.06811566302956522,0.07014362497615473,0.04016075692897436,0.033840129544968324,0.0464813843129804,0.6960751798087382,5.668267638933329,4.723556365777774,iron fly,"short 210 straddle @ bid, long 202.5P / 217.5C @ ask",credit,525.0000000000001,525.0000000000001,224.99999999999991,0.05954465849387038,14.50880886018532,503,0.8333333333333333,12,False,,,209.57000732421875,2026-07-31,210.0,13.85,14.274999999999999,14.7,"[{""action"": ""SELL"", ""right"": ""CALL"", ""strike"": 210.0}, {""action"": ""SELL"", ""right"": ""PUT"", ""strike"": 210.0}, {""action"": ""BUY"", ""right"": ""CALL"", ""strike"": 217.5}, {""action"": ""BUY"", ""right"": ""PUT"", ""strike"": 202.5}]"
